epoch,baseline_acc,l2_acc,dropout_acc
0,46.36,42.06,41.22
1,52.84,57.13,51.3
2,59.71,61.15,62.02
3,60.76,63.26,61.82
4,71.55,64.13,68.89
5,71.48,76.57,70.91
6,78.87,76.52,74.51
7,80.11,74.12,76.18
8,80.64,76.85,80.37
9,83.22,68.4,80.11
10,83.85,73.0,82.55
11,84.5,77.82,83.55
12,85.31,66.14,84.09
13,86.42,79.68,82.13
14,86.44,79.39,84.99
15,87.51,74.4,86.06
16,87.1,76.26,86.84
17,86.6,79.15,86.01
18,88.65,80.61,87.32
19,88.66,81.2,87.99
20,88.45,81.24,88.24
21,88.91,81.67,87.85
22,88.97,83.05,88.87
23,88.94,80.32,88.73
24,89.58,81.29,89.15
25,89.57,83.28,89.26
26,90.16,84.23,89.6
27,90.16,83.96,89.74
28,90.06,86.96,89.7
29,90.55,86.22,90.06
30,89.7,84.94,90.15
31,90.01,86.49,90.6
32,90.73,87.25,90.62
33,90.71,88.7,90.88
34,91.14,89.33,90.8
35,91.39,89.73,90.93
36,91.47,90.27,91.15
37,91.59,90.28,91.22
38,91.52,91.42,91.3
39,91.68,90.74,91.36
40,91.78,91.79,91.55
41,91.82,92.2,91.4
42,92.13,92.98,91.49
43,91.86,93.51,91.47
44,91.95,93.77,91.5
45,92.04,94.01,91.66
46,91.84,94.32,91.56
47,92.02,94.43,91.75
48,92.0,94.45,91.65
49,92.03,94.46,91.65
